"cim_version",datamodel,object,field,"data_type",description,"possible_values",recommended,deprecated
"4.12.0",Alerts,Alerts,app,string,"The application involved in the event, such as win:app:trendmicro, vmware, nagios.",,true,""
"4.12.0",Alerts,Alerts,body,string,"The body of a message.",,,""
"4.12.0",Alerts,Alerts,dest,string,"The destination of the alert message, such as an email address or SNMP trap. You can alias this from more specific fields, such as dest_host, dest_ip, or dest_name.",,true,""
"4.12.0",Alerts,Alerts,"dest_bunit",string,"The business unit associated with the destination.",,,""
"4.12.0",Alerts,Alerts,"dest_category",string,"The category of the destination.",,,""
"4.12.0",Alerts,Alerts,"dest_priority",string,"The priority of the destination.",,,""
"4.12.0",Alerts,Alerts,id,string,"The unique identifier of a message.",,,""
"4.12.0",Alerts,Alerts,severity,string,"The severity of a message. Note: This field is a string. Use the severity_id field for severity ID fields that are integer data types. Specific values are required. Use vendor_severity for the vendor's own human readable strings (such as 'Good', 'Bad', 'Really Bad')","critical, high, medium, low, informational, unknown",,""
"4.12.0",Alerts,Alerts,"severity_id",string,"A numeric severity indicator for a message.",,,""
"4.12.0",Alerts,Alerts,src,string,"The source of the message. You can alias or extract this from more specific fields, such as src_host, src_ip, or src_name.",,,""
"4.12.0",Alerts,Alerts,"src_bunit",string,"The business unit associated with the source.",,,""
"4.12.0",Alerts,Alerts,"src_category",string,"The category of the source.",,,""
"4.12.0",Alerts,Alerts,"src_priority",string,"The priority of the source.",,,""
"4.12.0",Alerts,Alerts,subject,string,"The subject of the message.",,,""
"4.12.0",Alerts,Alerts,tag,string,"This automatically generated field is used to access tags from within data models. Add-on builders do not need to populate it.",,,""
"4.12.0",Alerts,Alerts,type,string,"The message type.","alarm, alert, event, task, unknown",true,""
"4.12.0","Application_State","All_Application_State",dest,string,"The compute resource where the service is installed. You can alias this from more specific fields, such as dest_host, dest_ip, or dest_name.",,true,1
"4.12.0","Application_State","All_Application_State","dest_bunit",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,1
"4.12.0","Application_State","All_Application_State","dest_category",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,1
"4.12.0","Application_State","All_Application_State","dest_priority",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,1
"4.12.0","Application_State","All_Application_State","dest_requires_av",boolean,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,1
"4.12.0","Application_State","All_Application_State","dest_should_timesync",boolean,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,1
"4.12.0","Application_State","All_Application_State","dest_should_update",boolean,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,1
"4.12.0","Application_State","All_Application_State",process,string,"The name of a process or service file, such as sqlsrvr.exe or httpd. Note: This field is not appropriate for service or daemon names, such as SQL Server or Apache Web Server. Service or daemon names belong to the service field.",,true,1
"4.12.0","Application_State","All_Application_State","process_name",string,"The name of a process.",,,1
"4.12.0","Application_State","All_Application_State",tag,string,"This automatically generated field is used to access tags from within data models. Add-on builders do not need to populate it.",,,1
"4.12.0","Application_State","All_Application_State",user,string,"The user account the service is running as, such as System or httpdsvc.",,,1
"4.12.0","Application_State","All_Application_State","user_bunit",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,1
"4.12.0","Application_State","All_Application_State","user_category",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,1
"4.12.0","Application_State","All_Application_State","user_priority",string,"This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,1
"4.12.0","Application_State",Ports,"dest_port",number,"Network ports communicated to by the process, such as 53.",,true,1
"4.12.0","Application_State",Ports,transport,string,"The network ports listened to by the application process, such as tcp, udp, etc.",,true,1
"4.12.0","Application_State",Ports,"transport_dest_port",string,"Calculated as transport/dest_port, such as tcp/53.",,,1
"4.12.0","Application_State",Processes,"cpu_load_mhz",number,"CPU Load in megahertz.",,,1
"4.12.0","Application_State",Processes,"cpu_load_percent",number,"CPU Load in percent.",,,1
"4.12.0","Application_State",Processes,"cpu_time",string,"CPU Time.",,,1
"4.12.0","Application_State",Processes,"mem_used",number,"Memory used in bytes.",,,1
"4.12.0","Application_State",Services,service,string,"The name of the service, such as SQL Server or Apache Web Server. Note: This field is not appropriate for filenames, such as sqlsrvr.exe or httpd. Filenames should belong to the process field instead. Also, note that field is a string. Use the service_id field for service ID fields that are integer data types.",,true,1
"4.12.0","Application_State",Services,"service_id",string,"A numeric indicator for a service.",,true,1
"4.12.0","Application_State",Services,"start_mode",string,"The start mode for the service.","disabled, manual, auto",true,1
"4.12.0","Application_State",Services,status,string,"The status of the service.","critical, started, stopped, warning",true,1
"4.12.0",Authentication,Authentication,action,string,"The action performed on the resource.","success, failure",true,""
"4.12.0",Authentication,Authentication,app,string,"The application involved in the event, such as ssh, splunk, win:local.",,true,""
"4.12.0",Authentication,Authentication,dest,string,"The target involved in the authentication. You can alias this from more specific fields, such as dest_host, dest_ip, dest_mac, or dest_nt_host.",,true,""
"4.12.0",Authentication,Authentication,"dest_bunit",string,"The business unit of the authentication target. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,""
"4.12.0",Authentication,Authentication,"dest_category",string,"The category of the authentication target, such as email_server or SOX-compliant. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",,,""
"4.12.0",Authentication,Authentication,"dest_nt_domain",string,"The name of the Active Directory used by the authentication target, if applicable.",,,""
"4.12.0",Authentication,Authentication,"dest_priority",string,"The priority of the authentication target.",,,""
